Time_s,FP1_Fx,FP1_Fy,FP1_Fz,FP2_Fx,FP2_Fy,FP2_Fz
0.410000,2.003479,2.324036,-8.199585,0.080139,0.881531,8.514954
0.415000,2.724732,0.641113,-9.461060,-2.083618,-0.881531,12.299378
0.420000,2.484314,-0.000000,-4.099793,-0.080139,0.240417,-7.568848
0.425000,2.163757,-0.400696,2.207581,0.240417,-1.362366,-7.568848
0.430000,2.564453,0.080139,0.315369,-0.560974,1.041809,-6.938111
0.435000,2.404175,-1.602783,-5.992005,-0.160278,0.721252,-0.630737
0.440000,3.365845,0.721252,-3.153687,1.442505,-1.282227,-2.838318
0.445000,0.721252,-1.121948,3.469055,-1.602783,-0.400696,10.091797
0.450000,0.560974,-0.480835,-10.091797,-1.282227,0.080139,-8.199585
0.455000,3.285706,1.202087,-9.461060,-0.080139,-0.080139,9.145691
0.460000,0.961670,-0.881531,-7.253479,-1.522644,1.041809,-0.315369
0.465000,2.644592,-0.560974,-7.568848,1.282227,-0.160278,8.514954
0.470000,2.404175,0.080139,-1.261475,-1.923340,0.480835,4.099793
0.475000,1.602783,1.121948,1.261475,-0.400696,-1.442505,-4.730530
0.480000,2.885010,-0.080139,-5.361267,0.160278,-2.083618,1.261475
0.485000,2.644592,-0.320557,6.307373,-1.843201,1.121948,2.838318
0.490000,2.564453,0.560974,-3.469055,-0.881531,-1.763062,-1.892212
0.495000,1.202087,1.923340,-7.253479,0.400696,0.961670,9.461060
0.500000,2.724732,-0.480835,-2.522949,-0.320557,-1.121948,-9.776428
0.505000,2.404175,0.160278,-2.838318,-3.205566,0.801392,-1.261475
0.510000,2.163757,-0.560974,-6.938111,-0.801392,-0.881531,-7.253479
0.515000,1.202087,-2.083618,1.892212,-2.324036,-2.083618,-5.045899
0.520000,3.846680,0.641113,-2.522949,-0.641113,-0.560974,-6.307373
0.525000,2.965149,-0.240417,-5.045899,-0.400696,0.320557,0.630737
0.530000,2.083618,-0.721252,1.261475,-0.000000,-0.320557,0.315369
0.535000,3.926819,0.080139,-2.838318,-0.560974,-1.923340,9.145691
0.540000,1.763062,-0.961670,6.307373,-2.564453,1.041809,3.469055
0.545000,1.843201,0.641113,-5.992005,-0.721252,0.641113,-0.946106
0.550000,3.285706,-1.121948,-12.614746,-1.763062,-0.560974,7.884216
0.555000,0.801392,-0.080139,-0.630737,-1.362366,0.400696,1.261475
0.560000,2.243897,-0.320557,-4.099793,0.961670,-0.400696,4.099793
0.565000,2.404175,-0.320557,-1.576843,-0.801392,-0.320557,5.992005
0.570000,2.724732,-2.243897,-4.415161,1.602783,-1.282227,-4.099793
0.575000,2.885010,-0.721252,-6.938111,-0.560974,-0.080139,6.938111
0.580000,2.243897,-0.320557,-5.992005,-0.560974,-0.480835,0.946106
0.585000,0.240417,-0.721252,-3.784424,0.240417,-0.560974,8.830322
0.590000,2.163757,0.961670,-1.892212,0.400696,0.320557,0.315369
0.595000,2.484314,0.400696,-6.938111,-1.121948,-0.320557,-8.514954
0.600000,2.324036,-2.324036,-9.145691,-1.041809,-0.801392,4.415161
0.605000,2.484314,0.160278,3.784424,-1.202087,0.721252,7.884216
0.610000,1.041809,-0.160278,-2.207581,-0.801392,-0.000000,-7.253479
0.615000,1.602783,0.801392,-6.307373,-0.080139,-2.083618,-3.153687
0.620000,2.644592,-0.320557,5.992005,-0.801392,0.160278,-2.522949
0.625000,3.285706,0.801392,-7.253479,-0.881531,-0.961670,-0.946106
0.630000,1.282227,-2.163757,-6.938111,-0.320557,-1.843201,0.630737
0.635000,3.445984,1.121948,-5.045899,-1.362366,-0.881531,-0.630737
0.640000,1.923340,0.961670,-6.938111,-0.801392,-2.083618,-0.000000
0.645000,2.885010,-0.480835,-9.461060,-0.400696,-2.644592,-1.892212
0.650000,4.087097,-0.961670,-3.784424,-0.721252,0.881531,7.884216
0.655000,2.564453,0.320557,-4.415161,1.121948,0.400696,-15.768433
0.660000,0.881531,-2.564453,1.261475,0.320557,1.923340,-7.253479
0.665000,2.324036,-0.961670,1.892212,-1.442505,0.721252,-7.568848
0.670000,0.240417,0.881531,-3.153687,-1.202087,0.080139,-2.838318
